01021180,Kita Elfenbein,Huttenstr. 021,34507967
01021190,AWO Kita am Spreebogen,Alt-Moabit 098,44724001
01030010,Kita Ackerstr. 60/Kig ae City,Ackerstr. 060,34620620
01030020,INA.KINDER.GARTEN Br uesseler Strasse,Br uesseler Str. 030,454 18 84
01030030,Kita Ramlerstr. 9-10/Kig ae City,Ramlerstr. 009,43207225
01030050,Kita Edinburger Str. 38/Kig ae City,Edinburger Str. 038,4524291
01030080,Kita Ghanastr. 13/Kig ae City,Ghanastr. 013,4518047
01030090,Kita Sternenhimmel/Pfefferwerk Stadtkultur gGmbH,Graunstr. 011A,464 43 58
01030140,Kita Kunterbunt / Kinder in Bewegung (KIB) gGmbH,Gottschedstr. 027,4606 0825
01030150,Kita Reinickendorfer Str. 98/Kig ae City,Reinickendorfer Str. 098,52134200
01030160,Kita Sch oenwalder Str. 19a/Kig ae City,Sch oenwalder Str. 019A,43207212
01030170,Kita Schulstr. 101/Kig ae City,Schulstr. 101,34620606
01030180,Kita Der Kinder-Garten in der Schwedenstrasse,Schwedenstr. 009A,48478836
01030190,Kita Nordbahnstr. 15-16/Kig ae City,Nordbahnstr. 015,4947236
01030210,Kita Wattstrasse/ Pfefferwerk Stadtkultur gGmbH,Wattstr. 016,464 43 59
01030230,Kita/Kinder in Bewegung (KIB) gGmbH,Gottschedstr. 028,4606 0810
01030240,Kita Lynarstr. 10/Kig ae City,Lynarstr. 010,4541972
01030250,Kita Freienwalder Str. 19c/Kig ae City,Freienwalder Str. 019C,4946612
01030280,Kita/Kinder in Bewegung (KiB) gGmbH,Togostr. 067,451 90 76
01030290,Kita Wiesenstr.,Wiesenstr. 049-50,4606 0490
01030300,Kita/Kinder in Bewegung (KIB) gGmbH,Wolgaster Str. 004-2,467 76 4920
01030320,Kita/Jugend- u. Sozialwerk gGmbH,Koloniestr. 024A,493 50 18
01030330,Ev. Kita Kornelius,Dubliner Str. 029,452 11 78
01030340,Kita Ruheplatzstr. 13/Kig ae City,Ruheplatzstr. 013,34620607
01030350,Kita Afrikanische Strasse/Kinder im Kiez gGmbH,Afrikanische Str. 028,4502 3277
01030360,Kita Petersallee 27 SoKi / Kig ae City,Petersallee 027,35128700
01030370,Kita M aerchenland,Bornholmer Str. 044,4998 8690
01030390,Kita Stettiner Str. 21-23/Kig ae City,Stettiner Str. 021,34620606
01030400,Kita Petersallee 29/Kig ae City,Petersallee 029,35128686
01030410,Kita der Ev. Kirchengem. Nazareth,Nazarethkirchstr. 050,456 62 91
01030420,Ev. Kinderhaus Kapernaum,Seestr. 035,453 63 07
01030430,Ev. Kita Stephanus,Soldiner Str. 021,493 62 62
01030440,Kita der Ev. Osterkirchengem.,Sprengelstr. 035,454 35 59
01030470,Kita der Kath. Kirchengem. St. Sebastian,Feldstr. 020,4635971
01030480,Kindertagesst aette der Caritas St. Robert,Hochst aedter Str. 014,4551130
01030490,AWO Kita Rosa Marzipan,Putbusser Str. 030,463 41 37
01030500,AWO Kita Pinocchio,Antwerpener Str. 040,454 48 98
01030510,AWO Kita Sonnenblume,Reinickendorfer Str. 062,455 66 50
01030520,EKT - "Unsere Zukunft" e.V. Kila Spatzenkinder,Bastianstr. 018,465 58 97
01030530,EKT - Flohzirkus Wedding e.V.,Eulerstr. 010,494 80 76
01030540,Eikita Hinterhof - Tiger e.V.,Fehmarner Str. 009,453 66 20
01030550,EKT - Sonnenblume e.V.,Fehmarner Str. 014,453 70 13
01030580,EKT - G aensebl uemchen e.V.,Glasgower Str. 026,451 40 24
01030600,EKT - Stadtkinder,Gr uentaler Str. 008,4939011
01030610,Kleine Himmelswolke,T uerkenstr. 005,451 91 30
01030620,EKT - Kr uemelbande e.V.,L uetticher Str. 005,453 60 50
01030630,Pinocchio,Br uesseler Str. 045,36422516
01030640,EKT - Tausendf uessler e.V.,Amsterdamer Str. 012,456 26 24
01030700,EKT - Verein z. F oerderung integrativer Erziehung e.V.,Sparrstr. 019,453 30 76
01030710,EKT - "Eisb aer"/Verein z. F oerderung integrativer Erziehung e.V.,Sparrstr. 020,453 90 38
01030720,EKT - T uete M uecken e.V.,Togostr. 078,451 20 76
01030730,P aedag.Initiative EKT am Schillerpark e.V.,T uerkenstr. 015,451 40 73
01030740,EKT - Kinderh uette Wiesenstr. e.V.,Wiesenstr. 028,465 91 00
01030750,EKT - Sparrbande e.V.,Sparrstr. 021,453 37 73
01030760,Kita A13,Amsterdamer Str. 013,456 23 33
01030770,Kita/Unionhilfswerk Sozialeinrichtgen gGmbH,Wiesenstr. 025,462 20 76
01030780,Deutsch-Franz oesische Kita/Kig ae City,Afrikanische Str. 121,4528036
01030790,Kita der Bayer Pharma AG,M uellerstr. 008,46812018
01030800,EKT - Jo Jo e.V.,Schwedenstr. 003A,465 64 55
01030820,Kita Liebenwalder Str. 45/Kig ae City,Liebenwalder Str. 045,34620660
01030830,Wolke 7 gGmbH,Sparrstr. 022,4535627
01030850,Kita SilberStern,Stettiner Str. 056,4941049
01030870,EKT - Omas Garten e.V.,Stralsunder Str. 007,464 20 85
01030880,EKT - Villa R oemer e.V.,Wollankstr. 061D,494 88 78
01030900,Kita Exerzierstr. 32a/Kig ae City,Exerzierstr. 032A,4925650
01030910,EKT - Mauerspechte e.V.,Swinem uender Str. 064,4606 8040
01030920,EKT - Doppelp uenktchen e.V.,Oudenarder Str. 001B,455 69 60
01030930,EKT - Klapperkiste e.V.,Soldiner Str. 033,493 58 05
01030940,Montessori Kinderladen Wedding,Edinburger Str. 039,453 60 71
01030960,Kita Seestrasse/Kinder im Kiez gGmbH,Seestr. 090,456 80 87
01030970,EKT - Stadtkinder e.V.,Gr uentaler Str. 012,48478543
01030980,INA.KINDER.GARTEN Gr uentaler Strasse,Gr uentaler Str. 034,494 71 63
01030990,Kita Neue Hochstr. 44/Kig ae City,Neue Hochstr. 044,4614047
01031000,Groni-Weddinger Kinder- u.Jugendzentrum e.V.,Malplaquetstr. 024,456 51 05
01031010,Groni-Weddinger Kinder- u.Jugendzentrum e.V.,Amsterdamer Str. 019B,456 23 81
01031020,EKT - Auenland/Arbeitskr.Fidele P aedag.e.V.,Zingster Str. 012,494 15 26/4372 6072
01031040,Groni-Weddinger Kinder- u.Jugendzentrum - Malplaquet 37,Malplaquetstr. 037,456 83 87
01031050,Groni-Weddinger Kinder- u.Jugendzentrum e.V.,Malplaquetstr. 010,455 86 36
01031060,Kita/Akila e.V.,Antonstr. 019,461 70 00
01031110,EKT - Waldorf-Kindergarten Berlin-Wedding e.V.,Swinem uender Str. 065,464 82 22
01031130,Kita/Kinder in Bewegung (KiB),Drontheimer Str. 023A,491 15 15
01031140,EKT - "Wilde Wiese" e.V.,Kurt-Schumacher-Damm 041,41700033/34
01031150,Putte e.V. Kindertagesst aette,Prinzenallee 024,493 30 88
01031170,Kita Osloer Str. 105D/Kig ae City,Osloer Str. 105D,49308814
01031180,EKT - Die kleinen Chaoten e.V.,Liebenwalder Str. 044,4580 3777
01031190,EKT - Die Ministerne,Sternstr. 009,23138863
01031200,Ev. Kita am Humboldthain,Gustav-Meyer-Allee 002,64604161
01031220,EKT - B aeumchen e.V.,Br uesseler Str. 038,4502 6935
01031240,EKT Kleine Himmelswolke e.V.,T uerkenstr. 020,2903 5330
01031250,EKT am Schillerpark e.V.,T uerkenstr. 004,4372 2954
01031260,Kita Bunter Stern,Tegeler Str. 006,4606 7089
01031300,EKT - Stadtkinder e.V.,Gr uentaler Str. 006,4991 1270
01031310,Kita "Nice Bildung" e.V.,Nazarethkirchstr. 049,22013959
01031320,INA.KINDER.GARTEN Augustenburger Platz,Augustenburger Platz 001, 81799165
01031330,Kita RoKoKids,Ofener Str. 004,34628728
01031340,Kita phorminis,Ackerstr. 076,467986309
01031350,Kindertagesst aette Triftstrasse "House of Nations",Triftstr. 067,93939-8490
01031360,EKT Frischlinge e.V.,Tegeler Str. 044,
01031370,Kita Kinderparadies Wedding,Ackerstr. 104,
01031380,Kita Weisse Wolke e.V.,Groninger Str. 032,8179 9940
01031400,Kita Kiezeulen/Kulturverein Prenzlauer Berg e.V.,Eulerstr. 019A,50597358
01031420,Ghislan,Bastianstr. 021,46061094
01031430,Kita Malplaquetstrasse/Kinderland Wedding e.V.,Malplaquetstr. 041,50564222
01031440,Kita Zwergenschule,Brunnenstr. 070,77909434
01031450,Paradiesv oegel,Genter Str. 024,81010421
01031520,Schillerpark-Kita,Bristolstr. 019,25322324
01031530,Kita EVENTUS-BILDUNG,Plantagenstr. 009,80574556
01031550,Kita Groninger Strasse 34,Groninger Str. 034,81799940
01031560,Kita Rauda,Schulstr. 052-53,75545181
01031570,Kindertagesst aette Sparrstrasse 26,Sparrstr. 026,41997418
01031590,Kita Primavera,Glasgower Str. 025,60944034
01031600,Pinocchio 2,Br uesseler Str. 019,690065
01031610,Kita Zauberwald,Gr uentaler Str. 030,
01031620,EKT Meilenstein,Wriezener Str. 039,
01031630,Kindertagesst aette Fiorino,Prinzenallee 045C,68816420
01031640,Zwergenstube Auenland,Zingster Str. 008- 10,4941526
01031650,Montessori-Kinderhaus Wedding,Eulerstr. 018,42084424
01031680,Kleine RokoKids Kita,Ofener Str. 003A,30345947
01031690,Kita "Der Kleine Muck",Koloniestr. 007- 8,
01031700,EKT Berliner Stadtm aeuse,Transvaalstr. 020,
01031710,"Die kleinen Fr oesche" Krippe,Malplaquetstr. 035,74394999
01031720,Paradiesv oegel,Stettiner Str. 008,95611311
01031740,Kita Arif und Alina,Burgsdorfstr. 013,91443202
01031750,Kita Vielfalter,Exerzierstr. 026,33848511
01031760,KITA Wirbelzwirbel,Tegeler Str. 013,45797887
01031770,Pinocchio 3,Br uesseler Str. 008,
01031780,Kita - Die B aerenbande,Soldiner Str. 070/71,92280767
01031790,EKT Kinderoase,Ofener Str. 003,12028791
01031800,Kita Omas Garten,Stralsunder Str. 004,4642085
01031810,Kita Wunderland,Gerichtstr. 040,51307508
